name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
delhi,2021-09-01,27,23,25.7,31.2,23,26.6,25.4,98.19,115.57,,16.67,,,,,20.5,85.3,1007.4,94.9,2.6,,,0,,2021-09-01T05:59:07,2021-09-01T18:42:47,0.86,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
delhi,2021-09-02,32,24,27.7,46.2,24,32.9,26.2,92.35,79.58,,8.33,,,,,13,88.8,1005.1,86.2,2.8,,,0,,2021-09-02T05:59:37,2021-09-02T18:41:39,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
delhi,2021-09-03,34,26,29.3,43.8,26,34.9,26.1,84.33,9.04,,20.83,,,,,14.8,131.8,1003.5,82.9,3.3,,,0,,2021-09-03T06:00:07,2021-09-03T18:40:30,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
delhi,2021-09-04,32,26,28.1,44.1,26,32.9,26.2,89.68,43,,12.5,,,,33.5,14.8,126.4,1003.4,79.7,3.5,,,0,,2021-09-04T06:00:36,2021-09-04T18:39:21,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
delhi,2021-09-05,33.6,26.7,30,44.2,30.1,38,26.6,82.76,3,,4.17,,,,,11.4,119.2,1003.3,68.8,3.5,,,0,,2021-09-05T06:01:06,2021-09-05T18:38:12,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
delhi,2021-09-06,35,28,31.1,50.4,34.4,41.8,27.8,83.22,6,,4.17,,,,,10.8,86.1,1004.8,65.1,3.3,,,0,,2021-09-06T06:01:36,2021-09-06T18:37:02,1,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
delhi,2021-09-07,33.2,27,29.8,44.3,30.6,38.5,27.3,86.81,4.4,,4.17,,,,,16.6,95.1,1006,78.4,3.2,,,0,,2021-09-07T06:02:05,2021-09-07T18:35:51,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
delhi,2021-09-08,32.4,27,29.4,42.3,31.8,36.2,26.3,84.33,0,,0,,,,,18.4,88.9,1005,69.9,3.6,,,0,,2021-09-08T06:02:34,2021-09-08T18:34:41,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
delhi,2021-09-09,33.3,27.9,29.7,46.2,33.2,37.8,26.7,84.5,5,,4.35,,,,,17.8,77.8,1004.1,72.3,3.3,,,0,,2021-09-09T06:03:04,2021-09-09T18:33:30,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
delhi,2021-09-10,32.6,25,28.3,46.2,25,34.4,26.6,91,27.61,,12.5,,,,33.5,20.5,74.5,1003.8,88.6,2.9,,,0,,2021-09-10T06:03:33,2021-09-10T18:32:19,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
delhi,2021-09-11,26.2,24,25.1,26.2,24,25.1,24.7,97.96,127.51,,20.83,,,,37.1,18.4,105.2,1003.9,97.1,2.1,,,0,,2021-09-11T06:04:02,2021-09-11T18:31:08,0.12,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
delhi,2021-09-12,32.9,24,26.8,44.1,24,30.5,25.8,94.62,1.02,,4.17,,,,37.1,18.4,93.2,1002.3,91.1,2.9,,,0,,2021-09-12T06:04:32,2021-09-12T18:29:56,0.17,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
delhi,2021-09-13,33,25,27.6,44.1,25,32.1,26.4,93.51,3.58,,8.33,,,,51.8,23.6,93.4,1002.5,83.6,2.6,,,0,,2021-09-13T06:05:01,2021-09-13T18:28:44,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
delhi,2021-09-14,34.7,24,28.7,47.9,24,34.6,25.9,85.62,5,,8.33,,,,29.5,20.3,71.7,1004.7,75.1,3.1,,,0,,2021-09-14T06:05:30,2021-09-14T18:27:33,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
delhi,2021-09-15,34.6,25.8,29.7,47.2,25.8,36,25.8,80.61,0,,0,,,,31.7,18.4,130.3,1005.7,59.8,4.4,,,0,,2021-09-15T06:05:59,2021-09-15T18:26:21,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
delhi,2021-09-16,29,24,26.2,38.2,24,28.3,25.1,93.68,29.4,,16.67,,,,,11.2,74.2,1004.7,83.6,3.3,,,0,,2021-09-16T06:06:29,2021-09-16T18:25:09,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
delhi,2021-09-17,31.4,24.7,27.7,40.6,24.7,31.4,24.6,83.57,0,,0,,,,33.5,16.6,80,1003.7,83.9,3.7,,,0,,2021-09-17T06:06:58,2021-09-17T18:23:56,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
delhi,2021-09-18,33.5,25,28.6,46.2,25,34,25.8,85.07,0,,0,,,,,14.8,104.8,1005.5,62.7,3.4,,,0,,2021-09-18T06:07:28,2021-09-18T18:22:44,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
delhi,2021-09-19,33.9,26,29.9,44.7,26,36.7,26,80.27,0,,0,,,,,14.8,132.3,1007.1,45,3.8,,,0,,2021-09-19T06:07:57,2021-09-19T18:21:32,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
delhi,2021-09-20,34.7,27,30.1,44,31,37.4,26.2,80.87,0,,0,,,,,14.8,103.4,1006.3,48.7,3.5,,,0,,2021-09-20T06:08:27,2021-09-20T18:20:20,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999,VIDD"
delhi,2021-09-21,35.1,27,29.6,45.7,30.6,36.8,26.2,82.77,4.11,,4.17,,,,29.5,14.8,95.5,1005.2,59.6,3.8,,,0,,2021-09-21T06:08:56,2021-09-21T18:19:07,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
delhi,2021-09-22,31.2,25,27.5,37.9,25,31.4,25.6,89.4,51.01,,12.5,,,,33.5,15.5,120.4,1005,87.9,3.4,,,0,,2021-09-22T06:09:26,2021-09-22T18:17:55,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
delhi,2021-09-23,32.2,25,27.9,44.3,25,32.1,25.4,87.11,5.9,,8.7,,,,,16.6,124.6,1006.6,78,3.4,,,0,,2021-09-23T06:09:56,2021-09-23T18:16:43,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
delhi,2021-09-24,34,25,28.1,43.5,25,32.6,25.4,85.45,6.97,,8.33,,,,33.5,14.8,92,1007.5,76.4,3.4,,,0,,2021-09-24T06:10:26,2021-09-24T18:15:31,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
delhi,2021-09-25,32.4,25.5,28.7,40.8,25.5,33.7,25.7,84.75,20.3,,8.33,,,,,9.4,53.2,1006.3,69.7,3.2,,,0,,2021-09-25T06:10:56,2021-09-25T18:14:19,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42182099999,42176099999,VIDP,42139099999,42181099999"
delhi,2021-09-26,32.8,25,28.1,42.3,25,32.9,25.9,88.6,0,,0,,,,,14.8,124.8,1006.1,78.8,2.7,,,0,,2021-09-26T06:11:27,2021-09-26T18:13:08,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
delhi,2021-09-27,33.6,26,29.6,42.1,26,36,26.1,82.34,0,,0,,,,,9.4,72.8,1006.5,61,2.9,,,0,,2021-09-27T06:11:57,2021-09-27T18:11:56,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
delhi,2021-09-28,34.1,26,30.3,44.5,26,37.6,26.2,79.93,0,,0,,,,33.5,16.6,132.5,1007.1,52.3,3.6,,,0,,2021-09-28T06:12:28,2021-09-28T18:10:45,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
delhi,2021-09-29,34.4,27,30.1,43.7,31.2,37.2,26,79.61,0,,0,,,,,16.6,147.4,1008.5,56.8,3.9,,,0,,2021-09-29T06:12:59,2021-09-29T18:09:34,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
delhi,2021-09-30,34.3,26,29.7,43.8,26,36.4,25.9,80.63,0,,0,,,,,11.2,108.9,1009.7,55.1,3.4,,,0,,2021-09-30T06:13:30,2021-09-30T18:08:23,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
