name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
gangtok,2021-09-01,26,6.4,17.1,26,5,16.9,12.8,77.87,39.8,,42.86,,,,36,14.4,170.4,1013.5,60.2,11.7,,,0,,2021-09-01T05:14:32,2021-09-01T17:56:14,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-09-02,22,5.9,16.1,22,4.4,15.9,13.1,83.53,49.71,,31.25,,,,43.2,9.4,174.8,1014.3,56.4,11,,,0,,2021-09-02T05:14:59,2021-09-02T17:55:08,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-09-03,26,5.7,17.2,26,4.1,17.1,12.9,77.92,22.2,,25,,,,43.2,11.2,213.6,1012.6,69.4,12.2,,,0,,2021-09-03T05:15:27,2021-09-03T17:54:02,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-09-04,27,6.4,19.2,26.9,4.1,18.7,12.7,69.97,10.17,,6.25,,,,50.4,25.9,141.9,1010.4,65.5,12.4,,,0,,2021-09-04T05:15:54,2021-09-04T17:52:56,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-09-05,29,6.7,20,28.3,4.3,19.4,12,64.67,6.33,,13.33,,,,46.8,27.7,179.6,1010.5,56.7,13.3,,,0,,2021-09-05T05:16:21,2021-09-05T17:51:49,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-09-06,27,5.9,18.5,27.1,5.3,18.3,12.9,72.57,57.59,,25,,,,46.8,22.3,204.6,1015.2,62.8,11.8,,,0,,2021-09-06T05:16:47,2021-09-06T17:50:42,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-09-07,23,4.9,16.2,23,3.8,15.9,12.7,81.68,33,,31.25,,,,43.2,14.4,199.6,1019.5,72.5,9.4,,,0,,2021-09-07T05:17:14,2021-09-07T17:49:34,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-09-08,24,4.2,16.6,24,1.5,16.3,12.1,76.82,31.2,,25,,,,36,13,197.2,1013.9,61.5,11.8,,,0,,2021-09-08T05:17:41,2021-09-08T17:48:26,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-09-09,26,0.1,15.6,26,0.1,15.3,11.7,80.35,29.7,,28.57,,,,39.6,18.4,209.7,1014.3,68.7,7.4,,,0,,2021-09-09T05:18:08,2021-09-09T17:47:18,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-09-10,25,4.6,17,25,1.3,16.5,11.7,74.27,6.5,,18.75,,,,39.6,20.5,200.3,1015.7,61.2,11.4,,,0,,2021-09-10T05:18:34,2021-09-10T17:46:10,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-09-11,27,3.6,16.1,26.7,2.6,15.7,10.9,73.86,25.2,,23.08,,,,43.2,25.9,202.6,1012.6,55.7,14,,,0,,2021-09-11T05:19:01,2021-09-11T17:45:01,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-09-12,30,4.7,18.1,28.9,2.3,17.5,11.4,68.31,6.5,,26.67,,,,43.2,22.3,195.5,1010.3,43.9,12.6,,,0,,2021-09-12T05:19:27,2021-09-12T17:43:53,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-09-13,27,4.1,16.7,26.6,0.1,15.9,11.1,71.95,2,,7.14,,,,54,24.1,184.6,1012.3,53.3,13.2,,,0,,2021-09-13T05:19:54,2021-09-13T17:42:43,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-09-14,21.1,3.1,14.8,21.1,1.1,14.1,11.2,79.6,20.3,,12.5,,,,46.8,18,255.1,1018.3,73,11.1,,,0,,2021-09-14T05:20:21,2021-09-14T17:41:34,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-09-15,28,4.1,17.4,27.2,1.4,16.5,10.7,69.05,20.8,,26.67,,,,46.8,18.4,166.2,1016.4,52,12.4,,,0,,2021-09-15T05:20:47,2021-09-15T17:40:25,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-09-16,28,1.9,17.5,27.2,-1.3,16.6,10.4,67.69,17.44,,26.67,,,,46.8,27.7,200.6,1013.8,56.6,12.5,,,0,,2021-09-16T05:21:14,2021-09-16T17:39:16,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-09-17,22,4.7,15.3,22,2.2,15.1,12.8,86.02,18.3,,31.25,,,,37.4,16.6,231.2,1012.9,68.5,10,,,0,,2021-09-17T05:21:41,2021-09-17T17:38:06,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-09-18,28,2.1,17.9,27.4,0.2,17.1,10.4,64.87,30.17,,18.75,,,,63.4,33.5,191.4,1013.6,45.2,12.4,,,0,,2021-09-18T05:22:07,2021-09-18T17:36:57,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-09-19,30,2.1,17.9,28.5,-0.5,17.4,8.8,60.68,25,,6.25,,,,66.2,29.5,186.9,1014.5,41.7,12.9,,,0,,2021-09-19T05:22:34,2021-09-19T17:35:47,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-09-20,29,0.2,15.9,28,0.2,15.5,10.1,72.43,5.8,,13.33,,,,48.6,27.7,193.3,1016.4,47.7,11.7,,,0,,2021-09-20T05:23:01,2021-09-20T17:34:38,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-09-21,21.8,0.7,11.6,21.8,-1,10.6,8.6,82.28,11.01,,25,,,,51.1,29.2,158.5,1006.9,37.5,15.5,,,0,,2021-09-21T05:23:28,2021-09-21T17:33:28,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42295099999,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-09-22,26,1.2,15.2,26,-0.4,14.6,9.6,71.69,8.2,,16.67,,,,51.1,24.1,190.3,1012,46.2,15,,,0,,2021-09-22T05:23:55,2021-09-22T17:32:19,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-09-23,22,4.1,14,22,3.2,13.5,10.8,81.58,7.4,,27.27,,,,40.3,9,220.5,1012.1,57.8,12.1,,,0,,2021-09-23T05:24:22,2021-09-23T17:31:09,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-09-24,26,4.1,17.2,26,2.5,16.8,11.4,71.46,40.6,,6.25,,,,38.9,20.5,174.7,1015.4,57.5,13.3,,,0,,2021-09-24T05:24:49,2021-09-24T17:30:00,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-09-25,21,4.1,15.4,21,2.2,15,11.7,79.63,39,,20,,,,40.3,18.4,195.3,1015.5,69.8,12.4,,,0,,2021-09-25T05:25:17,2021-09-25T17:28:51,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-09-26,25,4.2,16.9,25,-0.5,16.1,11,70.62,1.2,,12.5,,,,44.6,24.1,174.8,1016.7,61.7,12.3,,,0,,2021-09-26T05:25:44,2021-09-26T17:27:42,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-09-27,26,4.2,17.7,26,1.6,17.5,11.2,68.97,5.6,,25,,,0,43.9,18.4,186.1,1017.3,57.4,12.4,,,0,,2021-09-27T05:26:12,2021-09-27T17:26:33,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-09-28,25,4.1,16.5,25,2.5,16.2,12.2,78.61,7.3,,23.53,,,0,51.8,25.9,209.9,1018,66.8,10.2,,,0,,2021-09-28T05:26:40,2021-09-28T17:25:25,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-09-29,27,1.7,16.5,26.7,0,16.1,10.2,70,22,,14.29,,,0,42.5,22.3,181.5,1015.4,54.4,14,,,0,,2021-09-29T05:27:08,2021-09-29T17:24:16,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-09-30,26,5.1,18.5,26,3.9,18.4,13,73.1,0,,0,,,,26.6,29.5,150.5,1019.8,62.9,9.6,,,0,,2021-09-30T05:27:37,2021-09-30T17:23:08,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-10-01,26,3.7,17.6,26,2.1,17.5,11.6,70.79,0,,0,,,,35.6,14.8,218.4,1020.1,68.4,9.9,,,0,,2021-10-01T05:28:05,2021-10-01T17:22:01,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-10-02,22,1.2,14.7,22,1.2,14.6,10.7,78.14,9,,6.67,,,,39.6,20.5,254.6,1016,60,11.3,,,0,,2021-10-02T05:28:34,2021-10-02T17:20:53,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-10-03,17.6,1.1,12.8,17.6,-0.6,12.4,10.7,87.05,11.13,,20,,,,45.7,20.2,218.2,1015.9,55.3,10,,,0,,2021-10-03T05:29:03,2021-10-03T17:19:46,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-10-04,25,3.2,16.1,25,1.4,15.8,10.9,74.52,0.4,,5.88,,,,46.1,14.8,203.9,1014.6,58.5,11.6,,,0,,2021-10-04T05:29:33,2021-10-04T17:18:40,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-10-05,25,1.1,16.1,25,0,15.7,10.2,71.68,3.9,,25,,,,39.2,20.2,199.8,1016.9,55.3,12,,,0,,2021-10-05T05:30:02,2021-10-05T17:17:33,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-10-06,26,-0.1,15,26,-0.1,14.6,9.9,75.47,1,,7.69,,,,40.7,29.5,187.1,1014.9,46.7,12.6,,,0,,2021-10-06T05:30:32,2021-10-06T17:16:28,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-10-07,24,3.1,14.4,24,3,14.1,10.5,78.83,24,,7.69,,,,40.7,8.6,199.1,1012.7,63.6,13.5,,,0,,2021-10-07T05:31:03,2021-10-07T17:15:22,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-10-08,27,3.2,17.6,26.7,2.5,17.4,11,69.49,5.1,,12.5,,,,48.6,20.5,224.9,1012.9,57.6,11.9,,,0,,2021-10-08T05:31:33,2021-10-08T17:14:18,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-10-09,20,3.2,15.1,20,1.7,14.6,11.4,79.43,36.5,,25,,,,44.6,20.2,166.8,1013.2,71.5,11.6,,,0,,2021-10-09T05:32:04,2021-10-09T17:13:13,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-10-10,25,2.1,16.9,25,-1.9,16.2,10.5,69.71,0,,0,,,,45,15.1,236.9,1014.7,51.8,12.2,,,0,,2021-10-10T05:32:35,2021-10-10T17:12:10,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
gangtok,2021-10-11,28,-0.1,16.6,26.7,-4.6,15.5,8.3,64.2,0,,0,,,,45.4,29.5,208.2,1015,28.9,13.8,,,0,,2021-10-11T05:33:07,2021-10-11T17:11:06,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42295099999,VQPR,42398099999,55773099999,42299099999,42296099999"
